Tallgrass Oasis 	American-Style (Extra Special) Strong Bitter 	United States - Kansas 	8221 	18½ 	2010-05-08
Coors George Killian's Irish Red 	American-Style Amber Lager 	United States - Colorado 	807 	8 	1995-03-18
Coors George Killian's Irish Red 	American-Style Amber Lager 	United States - Colorado 	2744 	11½ 	1998-04-22
Coors George Killian's Irish Red 	American-Style Amber Lager 	United States - Colorado 	7764 	15½ 	2009-04-07
Blue Hen Black and Tan 	American-Style Amber Lager 	United States - Delaware 	1791 	13 	1996-09-28
Spoetzl Shiner Bock 	American-Style Amber Lager 	United States - Texas 	697 	9 	1995-01-07
Spoetzl Shiner Bock 	American-Style Amber Lager 	United States - Texas 	2329 	12 	1997-10-13
Spoetzl Shiner Bock 	American-Style Amber Lager 	United States - Texas 	6937 	13½ 	2008-03-12
Genesee Michael Shea's Porter and Lager Black and Tan 	American-Style Amber Lager 	United States - New York 	2444 	12½ 	1998-03-13
Gray Black and Tan 	American-Style Amber Lager 	United States - Wisconsin 	2951 	14 	1998-07-12
Lakefront Riverwest Stein Beer 	American-Style Amber Lager 	United States - Wisconsin 	3129 	13½ 	1999-01-03
Lakefront Riverwest Stein Beer 	American-Style Amber Lager 	United States - Wisconsin 	7762 	14½ 	2009-04-07
Capital Wisconsin Amber 	American-Style Amber Lager 	United States - Wisconsin 	3183 	16 	1999-02-07
Capital Wisconsin Amber 	American-Style Amber Lager 	United States - Wisconsin 	3253 	14 	1999-04-22
Stevens Point Amber Lager 	American-Style Amber Lager 	United States - Wisconsin 	3283 	13½ 	1999-05-27
Stevens Point Amber Lager 	American-Style Amber Lager 	United States - Wisconsin 	4956 	13 	2003-07-11
Cold Spring Aspen Meadow Black and Tan 	American-Style Amber Lager 	United States - Minnesota 	4361 	13 	2002-06-18
Yuengling Traditional Lager 	American-Style Amber Lager 	United States - Pennsylvania 	4505 	10 	2002-10-28
Yuengling Traditional Lager 	American-Style Amber Lager 	United States - Pennsylvania 	8192 	15 	2010-04-03
Anheuser-Busch (St. Louis) Michelob Black & Tan 	American-Style Amber Lager 	United States - Missouri 	4722 	13 	2003-03-01
Cape Ann Fisherman's Brew 	American-Style Amber Lager 	United States - Massachusetts 	5483 	14½ 	2004-10-02
Flying Dog Dogtoberfest Octoberfest 	American-Style Amber Lager 	United States - Colorado 	5429 	14 	2004-09-29
Florida Ybor Gold Amber Lager 	American-Style Amber Lager 	United States - Florida 	7189 	14 	2008-07-17
Anheuser-Busch (Fairfield) Green Valley Wild Hop Lager 	American-Style Amber Lager 	United States - California 	6167 	16½ 	2006-10-28
Flying Dog Old Scratch Amber Lager 	American-Style Amber Lager 	United States - Maryland 	7139 	16 	2008-06-24
Schell Oktoberfest 	American-Style Amber Lager 	United States - Minnesota 	7378 	14 	2008-09-26
Stevens Point Oktoberfest 	American-Style Amber Lager 	United States - Wisconsin 	7382 	15 	2008-09-26
